predictor,component,slope,robust_se,t,r2,spearman_rho
log10_nu,Normalisation only (WSM-V),-0.19691830260519866,0.009229003272722027,-21.336898122815278,0.1510529909112216,-0.40158783222285155
log10_nu,"Aggregation only (TOPSIS, min-max)",-0.003621935450945737,0.004956940822512988,-0.7306795825554253,0.022799379969267508,-0.020488022116324434
log10_nu,Both (TOPSIS),-0.1862237230824632,0.009755929202426728,-19.088261017324847,0.12643262978969305,-0.369375337583142
delta_w,Normalisation only (WSM-V),-1.193163832536312,0.032117040180638726,-37.15049163389573,0.3619956368228531,-0.585457979357479
delta_w,"Aggregation only (TOPSIS, min-max)",-0.032592115051902196,0.013894019974303725,-2.3457656684083967,0.023718827945173437,-0.055651696404061604
delta_w,Both (TOPSIS),-1.215719435914605,0.0333227835751323,-36.4831297233481,0.3383414242537792,-0.5622847870635375
