nu_bin,count,tau_norm_only,tau_norm_only_lo,tau_norm_only_hi,nonident_norm_only_pct,tau_aggr_only,tau_aggr_only_lo,tau_aggr_only_hi,nonident_aggr_only_pct,tau_both,tau_both_lo,tau_both_hi,nonident_both_pct
<=1.05,5,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.0,0.9555555555555554,0.8844444444444444,0.9999999999999998,40.0,0.9555555555555554,0.893111111111111,0.9999999999999998,40.0
1.05-1.25,50,0.9815873015873016,0.9605992063492063,0.9967936507936507,12.0,0.9312063492063491,0.8976190476190475,0.9593349206349205,42.00000000000001,0.9128888888888887,0.8760555555555555,0.945334126984127,48.0
1.25-1.75,306,0.9266625168585952,0.9136371770930594,0.9383395580454404,46.73202614379085,0.9104212055192445,0.8973283016910467,0.9233136217449942,56.209150326797385,0.885325241207594,0.8703288722896566,0.8989625479821556,61.111111111111114
1.75-3.0,806,0.8568829020441923,0.8450802512899286,0.8678304088384734,63.27543424317618,0.9080428532041436,0.8999006459490331,0.9159605045492142,53.84615384615385,0.8227244082082791,0.8102343534601598,0.8355667316554414,69.10669975186104
3.0-6.0,1132,0.7810196870267541,0.7673308934881373,0.7928014400695496,75.08833922261485,0.8910637164170733,0.8828620155364855,0.8984927996522519,59.275618374558306,0.7376226933647427,0.7239790159291042,0.7508315104604857,80.12367491166079
>6.0,1701,0.6541175592321976,0.6397412819723224,0.6678419323833784,82.42210464432686,0.8992049494694997,0.892865797896662,0.9050997312505248,55.55555555555556,0.6150350400791317,0.599799627669998,0.6297911592620588,84.59729570840682
